Image Name,Layout Area,Number of Edges,Width,Height
p_0341.jpg,105105.0,337,335.0373113550191,450.05444115129006
p_0504.jpg,76108.5,675,451.0,336.0
p_0739.jpg,135802.5,232,451.0,336.0
p_0791.jpg,132640.5,270,451.0,336.0
p_1125.jpg,135722.0,226,451.0,336.0
p_0437.jpg,139355.0,199,451.0,336.0
p_0965.jpg,99811.0,405,458.57714727186305,328.3900120283807
p_1084.jpg,149552.5,28,334.0059879702758,450.00999988889134
p_0567.jpg,90735.5,129,457.93012567421243,323.39449593337235
p_0230.jpg,114609.5,447,482.18772278024665,304.9622927510875
p_0105.jpg,144036.0,80,451.07094785632114,329.05470669783773
p_0789.jpg,81117.5,78,451.0,336.0
p_0106.jpg,136364.5,218,337.013352851189,449.01781701843413
p_0004.jpg,100217.5,404,461.39137399825756,318.2656123428983
p_0583.jpg,99265.0,471,336.0372003216311,451.0543204537564
p_0657.jpg,124422.0,429,453.1313275420273,318.8306760648981
p_0906.jpg,111428.0,563,322.158346159152,453.3982796614914
p_0426.jpg,151357.5,16,451.0,336.0
p_1148.jpg,127395.0,233,438.6570414344217,332.54323027239633
p_0556.jpg,135554.5,149,451.0,336.0
p_1181.jpg,105105.0,337,335.0373113550191,450.05444115129006
p_0542.jpg,122655.0,95,451.0,336.0
p_0160.jpg,119388.5,591,444.6268098079557,337.24916604789405
p_0343.jpg,76108.5,675,451.0,336.0
p_0166.jpg,139617.0,30,451.0,336.0
p_0442.jpg,107407.0,502,454.47222137332,321.27869521647403
p_0615.jpg,104513.5,387,308.93364983439403,473.44799080786055
p_1182.jpg,146752.0,85,333.0375354220602,447.0548064835004
p_0690.jpg,133772.0,58,449.01781701843413,336.0133925902359
p_1133.jpg,139518.5,175,451.0,336.0
p_0179.jpg,99811.0,405,458.57714727186305,328.3900120283807
p_0026.jpg,114177.5,480,463.09502264654066,325.4796460610095
p_0089.jpg,110320.0,480,451.0,336.0
p_1144.jpg,151357.5,16,451.0,336.0
p_0476.jpg,88820.0,375,454.12883634492977,316.76489704511135
p_1124.jpg,120380.0,281,452.0099556425721,334.0059879702758
p_1045.jpg,71400.0,718,324.4102341172362,441.13149966874954
p_0404.jpg,104513.5,387,308.93364983439403,473.44799080786055
p_0168.jpg,131032.5,348,337.53518335130633,440.70965498840616
p_0745.jpg,106887.5,517,454.2598375379448,321.27869521647403
p_0207.jpg,71138.0,112,451.0,336.0
p_0194.jpg,108416.0,678,325.7299494980466,453.8116349323803
p_0899.jpg,107616.0,432,323.6108774438832,422.26650352591315
p_0498.jpg,112561.0,356,327.9908535310093,437.6494030614003
p_0198.jpg,148077.0,39,335.0,450.0
p_0593.jpg,140448.0,136,449.01781701843413,336.0133925902359
p_0279.jpg,133772.0,58,449.01781701843413,336.0133925902359
p_0287.jpg,149315.5,29,452.0099556425721,334.0134727821619
p_0940.jpg,134608.0,207,335.0373113550191,448.0546841625473
p_1111.jpg,144208.0,84,449.040087297337,331.03776219639957
p_0187.jpg,100120.0,403,306.0228749619871,477.59501672442104
p_0044.jpg,103545.5,654,463.88145037282965,309.76281248723194
p_0619.jpg,103207.0,423,332.3988567970714,453.47657050833396
p_0830.jpg,114609.5,447,482.18772278024665,304.9622927510875
p_0304.jpg,134714.0,164,451.0,336.0
